stair.thisTrialN	stair.stepSize	stair.intensity	fixation.started	grating.started	key_resp.started	fixation.stopped	grating.stopped	corrAns	tilt	key_resp.corr	stair.response	key_resp.rt	participant	session	date	expName	psychopyVersion	frameRate		
0	2	10	8.2702242	8.7942248	8.7942248	8.8122694	9.0961332	right	10	1	1	0.7788786	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
1	2	8	9.5963777	10.0958634	10.0958634	10.0958634	10.3959955	right	8	1	1	0.2799999	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
2	2	6	10.3959955	10.8792076	10.8792076	10.8960175	11.1791909	right	6	1	1	0.3111366	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
3	2	4	11.2123683	11.7122255	11.7122255	11.7122255		right	4	1	1	0.2171574	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
4	2	2	11.9456549	12.4457266	12.4457266	12.4457266		right	2	1	1	0.1993389	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
5	1	1	12.6620658	13.1619449	13.1619449	13.1619449		left	-1	0	0	0.2476342	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
6	1	2	13.4290355	13.9284807	13.9284807	13.9284807		left	-2	0	0	0.2338318	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
7	1	3	14.1785912	14.6785075	14.6785075	14.6785075	14.9783975	right	3	1	1	0.5399986	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
8	1	3	15.2449702	15.7452976	15.7452976	15.7452976	16.044886	left	-3	1	1	0.6132005	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
9	1	3	16.3780322	16.8785659	16.8785659	16.8785659	17.1783198	right	3	1	1	0.4121987	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
10	1	2	17.3113312	17.8113419	17.8113419	17.8113419	18.1112131	left	-2	1	1	0.3406373	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
11	1	2	18.1778721	18.661397	18.661397	18.6773297	18.9608102	left	-2	1	1	0.5154016	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
12	1	2	19.1974428	19.6946275	19.6946275	19.7110532	19.9945027	right	2	1	1	0.3239629	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
13	1	1	20.0441343	20.5441639	20.5441639	20.5441639	20.8469747	left	-1	1	1	0.4743999	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
14	1	1	21.0441876	21.5439525	21.5439525	21.5439525	21.8442819	right	1	1	1	0.3353337	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
15	1	1	21.9108026	22.4106541	22.4106541	22.4106541		right	1	1	1	0.2116816	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
16	0	1	22.6438686	23.1437654	23.1437654	23.1437654		left	-1	0	0	0.2557893	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
17	0	1	23.4269136	23.9266973	23.9266973	23.9266973		right	1	1	1	0.2701272	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
18	0	1	24.2104383	24.710166	24.710166	24.710166	25.0101444	left	-1	1	1	0.2730949	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
19	0	1	25.0101444	25.509959	25.509959	25.509959	25.8102464	right	1	0	0	0.2676609	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
20	0	1	25.8102464	26.3100556	26.3100556	26.3100556		right	1	1	1	0.1114298	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
21	0	1	26.4431931	26.9460874	26.9460874	26.9460874	27.2600388	right	1	1	1	0.3060014	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
22	5	1	27.2765815	27.7764362	27.7764362	27.7764362	28.0771819	right	1	1	1	0.4853812	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
23	5	1	28.2928123	28.7929771	28.7929771	28.7929771		left	-1	0	0	0.2124635	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
24	5	6	29.026541	29.5260189	29.5260189	29.5260189		left	-6	0	0	0.255736	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
25	5	11	29.8091609	30.3091449	30.3091449	30.3091449		left	-11	1	1	0.2164114	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
26	5	11	30.5424511	31.0424204	31.0424204	31.0424204		right	11	0	0	0.2664075	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
27	5	16	31.3258381	31.825702	31.825702	31.825702	32.1255496	left	-16	1	1	0.3149238	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
28	5	16	32.1591585	32.66023	32.66023	32.66023		right	16	1	1	0.1800513	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
29	5	16	32.858973	33.3591758	33.3591758	33.3591758		right	16	0	0	0.2398507	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
30	5	20	33.6257341	34.1262467	34.1262467	34.1262467	34.4252448	right	20	1	1	0.4680695	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
31	5	20	34.6252632	35.1254233	35.1254233	35.1254233	35.4249485	left	-20	1	1	0.3493606	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
32	5	20	35.4921229	35.9907418	35.9907418	36.0081894	36.2917769	left	-20	1	1	0.4292775	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
33	5	15	36.441885	36.9442773	36.9442773	36.9442773	37.2583096	left	-15	1	1	0.3104331	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
34	5	15	37.2750107	37.7748965	37.7748965	37.7748965	38.0747068	right	15	1	1	0.3918793	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
35	5	15	38.1913703	38.6918551	38.6918551	38.6918551	38.9911234	right	15	1	1	0.4400524	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
36	5	10	39.157748	39.6581276	39.6581276	39.6581276	39.9576943	right	10	1	1	0.4531646	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
37	5	10	40.1410754	40.6410465	40.6410465	40.6410465	40.9411214	left	-10	1	1	0.3719605	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
38	5	10	41.040894	41.5410739	41.5410739	41.5410739	41.8436933	right	10	1	1	0.3827677	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
39	5	5	41.9406327	42.440722	42.440722	42.440722	42.7404227	right	5	1	1	0.4730007	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
40	5	5	42.9432891	43.4403714	43.4403714	43.4570685	43.7407374	left	-5	1	1	0.4538877	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
41	5	5	43.9236753	44.4246222	44.4246222	44.4246222	44.7405232	right	5	1	1	0.4100167	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
42	5	1	44.8568483	45.3570332	45.3570332	45.3570332	45.6567156	right	1	0	0	0.6653852	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
43	5	6	46.0400017	46.5402058	46.5402058	46.5402058	46.840028	left	-6	1	1	0.3267012	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		0.625
44	5	6	46.8901445	47.3899061	47.3899061	47.3899061	47.6898533	left	-6	0	0	0.2918092	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		average of the highlighted reversals = 0.625
45	5	11	47.7065767	48.2063993	48.2063993	48.2063993	48.5064203	left	-11	1	1	0.3145019	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
46	5	11	48.5396939	49.0402382	49.0402382	49.0402382	49.339078	right	11	1	1	0.4070108	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
47	5	11	49.4728428	49.973311	49.973311	49.973311	50.2733943	right	11	1	1	0.4103667	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
48	5	6	50.4062711	50.9065508	50.9065508	50.9065508	51.2092226	left	-6	1	1	0.397977	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
49	5	6	51.3539087	51.8559334	51.8559334	51.8559334	52.1558827	right	6	1	1	0.3643664	162360	1	2023-09-07_10h29.00.105	adaptive_staircase_khushicholkar_	2023.1.3	59.72078149		
